Efecto del tamaño del caché,,
trace,total_miss,miss_rate
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,12930,1.293%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,11778,1.178%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4344,0.434%
/home/yo/tarea4estructuras/traces/436.cactusADM-1804B.trace.txt.gz,4205,0.420%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,6676,0.668%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,4692,0.469%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/437.leslie3d-134B.trace.txt.gz,3968,0.397%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,13666,1.367%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,7402,0.740%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,5561,0.556%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,4368,0.437%
/home/yo/tarea4estructuras/traces/444.namd-120B.trace.txt.gz,3657,0.366%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,33497,3.350%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,20133,2.013%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,14747,1.475%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,11407,1.141%
/home/yo/tarea4estructuras/traces/445.gobmk-17B.trace.txt.gz,10592,1.059%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,73165,7.316%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,70424,7.042%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67836,6.784%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67734,6.773%
/home/yo/tarea4estructuras/traces/450.soplex-247B.trace.txt.gz,67457,6.746%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,31524,3.152%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,26293,2.629%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,24832,2.483%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25001,2.500%
/home/yo/tarea4estructuras/traces/453.povray-887B.trace.txt.gz,25338,2.534%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,483,0.048%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,440,0.044%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/454.calculix-104B.trace.txt.gz,420,0.042%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,10465,1.046%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,7094,0.709%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4504,0.450%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,4097,0.410%
/home/yo/tarea4estructuras/traces/456.hmmer-191B.trace.txt.gz,3680,0.368%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,15312,1.531%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,10952,1.095%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,8366,0.837%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6924,0.692%
/home/yo/tarea4estructuras/traces/458.sjeng-1088B.trace.txt.gz,6564,0.656%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,27302,2.730%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,26505,2.651%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,25213,2.521%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17978,1.798%
/home/yo/tarea4estructuras/traces/459.GemsFDTD-1169B.trace.txt.gz,17753,1.775%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,18615,1.861%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/462.libquantum-1343B.trace.txt.gz,17649,1.765%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,5350,0.535%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,867,0.087%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,581,0.058%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/464.h264ref-30B.trace.txt.gz,555,0.056%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,30249,3.025%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/465.tonto-1769B.trace.txt.gz,28139,2.814%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,45288,4.529%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,36744,3.674%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/470.lbm-1274B.trace.txt.gz,35867,3.587%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,55645,5.564%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,45323,4.532%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,37568,3.757%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,27971,2.797%
/home/yo/tarea4estructuras/traces/471.omnetpp-188B.trace.txt.gz,22034,2.203%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,5998,0.600%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4749,0.475%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4789,0.479%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4449,0.445%
/home/yo/tarea4estructuras/traces/473.astar-153B.trace.txt.gz,4487,0.449%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,7091,0.709%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,4101,0.410%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3876,0.388%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3834,0.383%
/home/yo/tarea4estructuras/traces/481.wrf-1170B.trace.txt.gz,3885,0.389%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,22693,2.269%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,13275,1.327%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,12179,1.218%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11943,1.194%
/home/yo/tarea4estructuras/traces/482.sphinx3-1100B.trace.txt.gz,11930,1.193%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,23191,2.319%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20679,2.068%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20644,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20642,2.064%
/home/yo/tarea4estructuras/traces/483.xalancbmk-127B.trace.txt.gz,20641,2.064%
Efecto del tamaño del bloque en el caché,,
trace,total_miss,miss_rate
